id,title,url,num_points,num_comments,author,created_at
12579008,You have two days to comment if you want stem cells to be classified as your own,http://www.regulations.gov/document?D=FDA-2015-D-3719-0018,1,0,altstar,9/26/2016 3:26
12579005,SQLAR  the SQLite Archiver,https://www.sqlite.org/sqlar/doc/trunk/README.md,1,0,blacksqr,2/13/2015 0:57
12578997,What if we just printed a flatscreen television on the side of our boxes?,https://medium.com/vanmoof/our-secrets-out-f21c1f03fdc8#.ietxmez43,1,0,pavel_lishin,9/26/2016 3:19
12578989,algorithmic music,http://cacm.acm.org/magazines/2011/7/109891-algorithmic-composition/fulltext,1,0,poindontcare,6/14/2017 2:40
12578979,How the Data Vault Enables the Next-Gen Data Warehouse and Data Lake,https://www.talend.com/blog/2016/05/12/talend-and-Ã‚Â“the-data-vaultÃ‚Â”,1,0,markgainor1,6/14/2017 2:40
12578975,Saving the Hassle of Shopping,https://blog.menswr.com/2016/09/07/whats-new-with-your-style-feed/,1,1,bdoux,9/26/2016 3:13
12578954,Macalifa  A new open-source music app for UWP that won't suck,http://forums.windowscentral.com/windows-phone-apps/440523-macalifa-new-open-source-music-app-uwp-wont-suck.html,1,0,thecodrr,6/14/2017 2:40
12578942,GitHub  theweavrs/Macalifa: A music player written for UWP,https://github.com/theweavrs/Macalifa,1,0,thecodrr,6/14/2017 2:40
12578919,Google Allo  first Impression,http://prodissues.com/2016/09/google-allo-first-impression.html,3,0,jandll,9/26/2015 2:57
12578918,Advanced Multimedia on the Linux Command Line,https://avi.alkalay.net/2016/09/multimedia-linux-cli.html,1,0,mynameislegion,9/26/2016 2:56
12578908,Ask HN: What TLD do you use for local development?,,4,7,Sevrene,9/26/2016 2:53
12578893,Muroc Maru,http://www.weirdca.com/location.php?location=511,1,0,x43b,9/26/2016 2:46
12578879,Why companies make their products worse,https://www.1843magazine.com/ideas/the-daily/why-companies-make-their-products-worse,4,0,RachelF,6/14/2017 2:40
12578866,Tuning AWS SQS Queues,http://blog.simontaranto.com/post/2016-09-25-tuning-aws-sqs.html/,3,0,srt32,9/26/2016 2:37
12578857,The Promise of GitHub,http://constantbetasoftware.com/2016/09/26/github.html,2,0,ttam,9/26/2016 2:34
12578834,Joint R&D Has Its Ups and Downs,http://semiengineering.com/joint-rd-has-its-ups-and-downs/,1,0,Lind5,6/14/2017 2:40
12578831,IBM announces next implementation of Apples Swift developer language,https://9to5mac.com/2016/09/25/ibm-announces-next-implementation-of-apples-swift-developer-language,2,0,phodo,9/26/2016 2:28
